Kiss of the Spider Woman,"$17,005,229",1985
King Solomon's Mines,"$15,057,465",1985
Krush Groove,"$11,052,713",1985
King David,"$5,111,099",1985
King Kong Lives,"$4,711,220",1986
Knights of the City,"$601,451",1986
Kansas,"$2,432,536",1988
K-9,"$43,247,647",1989
Kickboxer,"$14,697,005",1989
Kinjite: Forbidden Subjects,"$3,416,846",1989
Kill Me Again,"$283,694",1989
Kindergarten Cop,"$91,457,688",1990
King of New York,"$2,554,476",1990
King Ralph,"$34,002,045",1991
Kickboxer 2: The Road Back,"$1,250,712",1991
Kafka,"$1,059,071",1991
Kuffs,"$21,142,815",1992
K2,"$3,106,559",1992
Kalifornia,"$2,395,231",1993
King of the Hill,"$1,214,231",1993
Knight Moves,"$923,418",1993
Kika,"$2,019,581",1994
Kiss of Death,"$14,942,422",1995
Kids,"$7,412,216",1995
Kingpin,"$25,023,434",1996
Kazaam,"$18,937,262",1996
Kids in the Hall: Brain Candy,"$2,654,308",1996
Kansas City,"$1,356,329",1996
Kiss the Girls,"$60,527,873",1997
Kull the Conqueror,"$6,112,613",1997
Kolya,"$5,770,254",1997
Kundun,"$5,684,789",1997
Kama Sutra: A Tale of Love,"$4,109,095",1997
"Kiss Me, Guido","$1,918,497",1997
Kiss or Kill,"$796,681",1997
Knock Off,"$10,319,915",1998
Krippendorf's Tribe,"$7,571,115",1998
Kissing a Fool,"$4,106,588",1998
Keeping the Faith,"$59,945,183",2000
Kate & Leopold,"$76,019,048",2001
K-PAX,"$65,001,485",2001
Kiss of the Dragon,"$64,437,847",2001
Kingdom Come,"$23,396,049",2001
Kabhi Khushi Kabhie Gham...,"$11,329,690",2001
Kandahar,"$8,914,751",2001
K-19: The Widowmaker,"$65,716,126",2002
Kung Pow: Enter the Fist,"$16,994,625",2002
Knockaround Guys,"$12,806,614",2002
Kamen Rider Ryuki: Episode Final,"$10,112,538",2002
Kill Bill: Vol. 1,"$180,899,045",2003
Kangaroo Jack,"$88,929,111",2003
Kal Ho Naa Ho,"$13,200,241",2003
Koi... Mil Gaya,"$12,168,232",2003
Kamen Rider 555: Paradise Lost,"$11,067,556",2003
Kisarazu Cat's Eye: Nihon Series,"$10,029,866",2003
King Arthur,"$203,567,857",2004
Kill Bill: Vol. 2,"$154,116,796",2004
Kung Fu Hustle,"$100,912,445",2004
Kinsey,"$17,050,017",2004
Kureyon Shin-chan 2004 Re-release,"$12,066,375",2004
King Kong,"$556,906,378",2005
Kingdom of Heaven,"$218,122,627",2005
Kicking & Screaming,"$56,070,433",2005
Keeping Mum,"$18,575,768",2005
Kiss Kiss Bang Bang,"$15,785,148",2005
